prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1
411,2883,False,0.003179123991048543,67,62,0.11423788637630074,0.30535639411998455,0.5093816366495952,0.0710240828541193,0.19111850774368383,0.4874550191744134,0.08955223880597014,0.3283582089552239,0.5522388059701493,0.029850746268656716,0.6052360128050377,0.39476398719496236,0.8225350471571812,0.1774649528428189,0.16534270936164797,0.8346572906383521,0.43821684668127886,0.5617831533187212
412,2890,False,0.005886482293195216,76,71,0.10985902254146754,0.4417772645247412,0.35156917278149163,0.09679454015229952,0.3319182419832737,0.5099715487881321,0.09210526315789473,0.47368421052631576,0.35526315789473684,0.07894736842105263,0.6063057821087179,0.39369421789128217,0.8235075738452728,0.17649242615472707,0.165603608128868,0.834396391871132,0.4379603714218966,0.5620396285781034
413,2897,False,0.007749569771472799,64,61,0.07801432679584254,0.45511895934995134,0.36671523232876563,0.10015148152544037,0.3771046325541088,0.45722026326259213,0.078125,0.46875,0.375,0.078125,0.6067046982022998,0.39329530179770017,0.8247035894478292,0.17529641055217088,0.16647083812800897,0.833529161871991,0.43718156365481364,0.5628184363451864
414,2904,False,0.003038814200310516,65,60,0.09511691691280842,0.3760379514341682,0.42403624826544256,0.10480888338758054,0.28092103452135975,0.5588766008921795,0.06153846153846154,0.4153846153846154,0.46153846153846156,0.06153846153846154,0.6067156385059319,0.39328436149406815,0.824761524235716,0.17523847576428409,0.16588403554628126,0.8341159644537187,0.4370316233424518,0.5629683766575482
415,2911,False,0.0008841978497714797,72,65,0.12063617224113354,0.28017336785167957,0.5060753121663061,0.09311514774088064,0.15953719561054602,0.5434158661100269,0.09722222222222222,0.2777777777777778,0.5555555555555556,0.06944444444444445,0.6065005358149612,0.3934994641850388,0.8248782524221824,0.17512174757781768,0.16592403658874108,0.8340759634112589,0.4370616812080743,0.5629383187919257
416,2918,False,0.005193961140481944,57,54,0.08843036394280307,0.5849434069825559,0.2479751842517058,0.078651044822935,0.4965130430397528,0.4926400503157057,0.07017543859649122,0.6491228070175439,0.24561403508771928,0.03508771929824561,0.6065109782084848,0.39348902179151535,0.8258652050166483,0.1741347949833517,0.16614396830191003,0.83385603169809,0.4375860650678539,0.5624139349321461
417,2925,False,0.0020716116329430622,77,72,0.06984846026184247,0.43818236969219504,0.43244781339450533,0.05952135665145735,0.3683339094303526,0.4858243831985263,0.03896103896103896,0.4675324675324675,0.4675324675324675,0.025974025974025976,0.6061363672741243,0.39386363272587555,0.8261992185022421,0.17380078149775793,0.1660669837690204,0.8339330162309795,0.4377434007515803,0.5622565992484196
418,2932,False,0.0044332673908854415,57,56,0.11311645576268402,0.34039101140523637,0.4495547845775388,0.09693774825454068,0.22727455564255233,0.5006638193934237,0.08771929824561403,0.38596491228070173,0.47368421052631576,0.05263157894736842,0.6059634879306703,0.3940365120693297,0.8253682682396605,0.17463173176033955,0.1663567807211476,0.8336432192788524,0.4374912742998476,0.5625087257001524
419,2939,False,0.007152566701062963,76,72,0.0893121957172559,0.28265448757557027,0.5172395913997002,0.11079372530747338,0.19334229185831436,0.4650136861471326,0.06578947368421052,0.3026315789473684,0.5394736842105263,0.09210526315789473,0.6058245972192985,0.3941754027807016,0.8240237543559694,0.17597624564403055,0.16606980879938177,0.8339301912006183,0.436667757206429,0.563332242793571
420,2946,False,0.006579281039022548,70,66,0.06765983320586633,0.4471408621829347,0.400236952598418,0.08496235201278089,0.37948102897706837,0.46004991929973765,0.05714285714285714,0.45714285714285713,0.42857142857142855,0.05714285714285714,0.6052348672237607,0.3947651327762392,0.8243637314758134,0.17563626852418654,0.1649126575746333,0.8350873424253668,0.4361307145857049,0.563869285414295
421,2953,False,0.010224134079276012,77,69,0.0886372775280609,0.3930063485398717,0.42253423213830943,0.09582214179375774,0.3043690710118108,0.5149577599661312,0.06493506493506493,0.4155844155844156,0.42857142857142855,0.09090909090909091,0.6046707160311046,0.3953292839688955,0.8230472669349956,0.1769527330650044,0.1664265147346596,0.8335734852653404,0.4358446507691681,0.5641553492308318
422,2960,False,0.0034280457016866435,63,59,0.08007737774853867,0.4304491277359716,0.3840264506565699,0.10544704385891975,0.3503717499874329,0.48871672199999594,0.047619047619047616,0.4444444444444444,0.4126984126984127,0.09523809523809523,0.6036038104053179,0.39639618959468215,0.82303633137562,0.17696366862437998,0.16617665475785842,0.8338233452421416,0.4356996418906283,0.5643003581093716
