prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
167,1175,False,0.011194876353005569,78,74,0.4630145346055974,0.5369854653944028,0.07397093078880546,0.12351381467712465,0.46153846153846156,0.5384615384615384,0.08343442593146773,0.9165655740685322,0.9136684248670225,0.08633157513297747
168,1182,False,0.012945817081138553,79,71,0.5544748246232852,0.4455251753767147,0.10894964924657052,0.11693367388241423,0.5569620253164557,0.4430379746835443,0.08478103244661382,0.9152189675533863,0.9132383180606518,0.08676168193934834
169,1189,False,0.01555129629448706,63,56,0.5011968738612849,0.4988031261387151,0.0023937477225697834,0.12912876906287027,0.49206349206349204,0.5079365079365079,0.0858901577499656,0.9141098422500343,0.9118990560107205,0.0881009439892794
170,1196,False,0.012063414387101025,73,67,0.5209698128433848,0.4790301871566152,0.04193962568676962,0.13057492976495425,0.5205479452054794,0.4794520547945205,0.08711241827313625,0.9128875817268638,0.9124754889688829,0.08752451103111716
171,1203,False,0.011631442947313365,61,55,0.47591853792305633,0.5240814620769436,0.04816292415388729,0.13438472307733904,0.47540983606557374,0.5245901639344263,0.08782389667202854,0.9121761033279714,0.9113650744008488,0.08863492559915119
172,1210,False,0.00968310645399776,65,63,0.47519996202346193,0.524800037976538,0.04960007595307603,0.1386500221428248,0.49230769230769234,0.5076923076923077,0.08674222321466786,0.9132577767853323,0.9115086454570138,0.08849135454298605
173,1217,False,0.009587646324011366,74,64,0.37382856700920164,0.626171432990798,0.2523428659815964,0.12506467217462564,0.36486486486486486,0.6351351351351351,0.08661336522725098,0.9133866347727491,0.9104168475521659,0.08958315244783413
174,1224,False,0.010870181047077642,73,69,0.478153685857519,0.5218463141424808,0.04369262828496184,0.14134009458310362,0.4931506849315068,0.5068493150684932,0.085923299814346,0.914076700185654,0.9093808727317754,0.09061912726822458
175,1231,False,0.006704619975414445,70,65,0.5180926639410606,0.48190733605893943,0.03618532788212114,0.1192101038994545,0.5142857142857142,0.4857142857142857,0.08544891563342707,0.914551084366573,0.9099803642764248,0.09001963572357521
176,1238,False,0.003440445488502078,79,73,0.4734428797962357,0.5265571202037643,0.0531142404075286,0.126361115714035,0.46835443037974683,0.5316455696202531,0.08546116199668242,0.9145388380033176,0.9103779289117178,0.08962207108828225
177,1245,False,0.005725362431033626,61,56,0.46019514858336025,0.5398048514166398,0.07960970283327956,0.12278718526140546,0.45901639344262296,0.5409836065573771,0.08521178858859,0.9147882114114101,0.9109831005683217,0.08901689943167829
178,1252,False,0.008929392390528309,66,61,0.46085251826171586,0.5391474817382841,0.07829496347656822,0.12053941588619409,0.45454545454545453,0.5454545454545454,0.0845163741670772,0.9154836258329229,0.9117025397678785,0.0882974602321214
179,1259,False,0.0028479771685167472,81,71,0.5214594023117443,0.47854059768825574,0.042918804623488516,0.12522507099403143,0.5185185185185185,0.48148148148148145,0.08467841257439311,0.9153215874256069,0.9119791894630209,0.08802081053697906
