prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
42,214,False,0.17716606234226256,5,5,0.5020995035859988,0.4979004964140013,0.004199007171997449,0.6931049438655361,0.8,0.2,0.43771836981050116,0.5622816301894988,0.4428193540720307,0.5571806459279693
43,219,False,0.02854709210611123,5,5,0.49866639693217535,0.5013336030678246,0.002667206135649247,0.6931150962543663,0.4,0.6,0.44458079645491255,0.5554192035450874,0.4500455881229025,0.5499544118770974
44,224,False,0.07703044361362046,5,5,0.4971789308772932,0.5028210691227069,0.005642138245413653,0.6931007937229713,0.4,0.6,0.4637507145125451,0.5362492854874548,0.4690978819917911,0.5309021180082089
45,229,False,0.045828316595422504,5,5,0.5007301593291763,0.49926984067082375,0.0014603186583525551,0.6931055604240202,0.6,0.4,0.45216497597833033,0.5478350240216697,0.4579168451327615,0.5420831548672386
46,234,False,0.07146746753137283,5,5,0.5009541292105901,0.49904587078940993,0.0019082584211801978,0.6930273611857334,0.4,0.6,0.4697200343598738,0.5302799656401262,0.4759024972009657,0.5240975027990343
47,239,False,0.09848983436028613,5,5,0.5041014868560311,0.49589851314396904,0.008202973712062023,0.6929119253520681,0.6,0.4,0.4444250806309827,0.5555749193690173,0.4523043765254402,0.5476956234745597
48,244,False,0.11961617043825937,5,4,0.4990238957227091,0.500976104277291,0.0019522085545818912,0.6931343863004592,0.4,0.6,0.47415712891079,0.52584287108921,0.48203511903566926,0.5179648809643307
49,249,False,0.05556892576547809,5,4,0.5055625603067712,0.49443743969322884,0.011125120613542316,0.6929101364618306,0.4,0.6,0.4881321765334248,0.5118678234665751,0.49581529663003077,0.5041847033699692
50,254,False,0.0036832627562535625,5,4,0.5026756061613977,0.4973243938386022,0.005351212322795507,0.6930404093108676,0.6,0.4,0.48860059424257557,0.5113994057574245,0.49703020302811923,0.5029697969718808
51,259,False,0.04918623924101706,5,4,0.5027714303554187,0.49722856964458123,0.005542860710837483,0.6928595307808082,0.6,0.4,0.4759725223496656,0.5240274776503344,0.48509622518029794,0.5149037748197021
52,264,False,0.04854704373770283,5,5,0.4988672855651776,0.5011327144348225,0.0022654288696449254,0.6931162487515448,0.4,0.6,0.46393532339918125,0.5360646766008187,0.4729264616418271,0.5270735383581728
53,269,False,0.09307198587950358,5,5,0.5088365533986543,0.49116344660134575,0.017673106797308547,0.692813833537377,0.8,0.2,0.4403036103012407,0.5596963896987593,0.45039792514447125,0.5496020748555287
54,274,False,0.06488425607355047,5,4,0.5006236909815316,0.4993763090184684,0.0012473819630631766,0.6931267943484214,0.4,0.6,0.45655647190865184,0.5434435280913481,0.46629571077484777,0.5337042892251521
55,279,False,0.08871625879633438,5,4,0.5009697427937387,0.4990302572062612,0.0019394855874775296,0.6928504639137174,0.4,0.6,0.43426645689435756,0.5657335431056424,0.4446833841199062,0.5553166158800937
56,284,False,0.030148639767393667,5,5,0.5070296175586085,0.4929703824413916,0.014059235117216962,0.6928867485282059,0.8,0.2,0.42652576398849384,0.573474236011506,0.43761998718858114,0.5623800128114189
57,289,False,0.06556110579290292,5,4,0.4999158723726792,0.5000841276273209,0.00016825525464170266,0.6930598169012415,0.6,0.4,0.4426519520920453,0.5573480479079547,0.45379746152230177,0.5462025384776982
58,294,False,0.11075011860778232,5,4,0.5053488915433206,0.49465110845667926,0.010697783086641377,0.6926943254149432,0.4,0.6,0.469710066897055,0.5302899331029449,0.4817678964446298,0.5182321035553703
59,299,False,0.03861383466889757,5,5,0.500061782718867,0.49993821728113297,0.00012356543773406337,0.6930113542341791,0.6,0.4,0.4603834461954348,0.5396165538045652,0.4718632879295435,0.5281367120704565
60,304,False,0.09503891159540177,5,5,0.49097045488337027,0.5090295451166298,0.018059090233259523,0.6929000757922674,0.2,0.8,0.4838318010401769,0.516168198959823,0.4958248734869412,0.5041751265130587
