prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1
775,5431,False,0.0015833912477616742,69,64,0.0834660373851652,0.40243750690515556,0.4008870529844265,0.11320940272525241,0.31897146951999034,0.47449112679317407,0.043478260869565216,0.43478260869565216,0.42028985507246375,0.10144927536231885,0.6090513584780243,0.3909486415219757,0.8303423506192225,0.16965764938077751,0.16127916889606925,0.8387208311039308,0.3976911892690273,0.6023088107309726
776,5438,False,0.0012802365359928622,58,54,0.09357633477109281,0.44119967737175275,0.34997197229421384,0.11525201556294035,0.34762334260065997,0.45496067815018587,0.05172413793103448,0.4827586206896552,0.3793103448275862,0.08620689655172414,0.6090919838896901,0.3909080161103099,0.8305520638218108,0.16944793617818912,0.1614130702529689,0.8385869297470311,0.39774548414292,0.6022545158570799
777,5445,False,0.001580083787495859,75,68,0.1524578864286114,0.3631491298566823,0.3890994316633908,0.09529355205131528,0.21069124342807088,0.4720155035514595,0.12,0.41333333333333333,0.41333333333333333,0.05333333333333334,0.6095636913037452,0.39043630869625473,0.8306932456073851,0.1693067543926149,0.16138003049093166,0.8386199695090684,0.39774308336209907,0.6022569166379009
778,5452,False,0.004776274888225114,66,59,0.083869238860592,0.4290903326961799,0.3648679754014459,0.12217245304178195,0.3452210938355879,0.42010461601014715,0.06060606060606061,0.4696969696969697,0.36363636363636365,0.10606060606060606,0.6101043327189807,0.38989566728101926,0.8314476329041893,0.16855236709581065,0.16163349713482925,0.8383665028651708,0.3970621283784409,0.6029378716215591
779,5459,False,0.0020162534756278778,84,76,0.07940054218907579,0.4253504231689448,0.38752360112622036,0.10772543351575878,0.345949880979869,0.42935563804478083,0.03571428571428571,0.47619047619047616,0.39285714285714285,0.09523809523809523,0.610331725767277,0.389668274232723,0.8317302345794346,0.16826976542056535,0.16144532103608467,0.8385546789639153,0.39679832434675244,0.6032016756532476
780,5466,False,0.002463590870495448,82,72,0.08406843973266814,0.40639148356528637,0.4280368645558832,0.08150321214616221,0.32232304383261823,0.4440767041349342,0.07317073170731707,0.4268292682926829,0.45121951219512196,0.04878048780487805,0.6105394811861079,0.3894605188138922,0.8321310349350265,0.1678689650649734,0.16120963255378398,0.8387903674462159,0.39688262673576497,0.6031173732642351
781,5473,False,0.002316515426039156,72,65,0.06926301668263388,0.36503434329743184,0.4597512093183425,0.10595143070159169,0.295771326614798,0.452765050440208,0.027777777777777776,0.4027777777777778,0.4583333333333333,0.1111111111111111,0.6107221924234978,0.3892778075765022,0.831841343101465,0.16815865689853507,0.16124240847502117,0.8387575915249789,0.39630687848964774,0.6036931215103523
782,5480,False,0.0028779127092347745,65,60,0.11309526741114966,0.31189506546003587,0.4597672692401605,0.11524239788865356,0.1987997980488862,0.44947923451121424,0.09230769230769231,0.3076923076923077,0.49230769230769234,0.1076923076923077,0.6114711751639283,0.3885288248360716,0.8321837026650838,0.1678162973349163,0.16125682254294466,0.8387431774570554,0.3964954764790543,0.6035045235209456
783,5487,False,0.0012563669783802198,72,69,0.10850104050333095,0.3542623178083329,0.4738912135633339,0.06334542812500223,0.24576127730500194,0.4452306547729861,0.06944444444444445,0.3888888888888889,0.5,0.041666666666666664,0.6113067220269299,0.38869327797307,0.8323469828363089,0.16765301716369102,0.16110395177333442,0.8388960482266655,0.39653782940250126,0.6034621705974987
784,5494,False,0.0033679451806618334,73,67,0.062103321339706224,0.39314447349754106,0.44074472671579457,0.10400747844695815,0.3310411521578348,0.44277334940383445,0.0273972602739726,0.410958904109589,0.4520547945205479,0.1095890410958904,0.6112244514757134,0.3887755485242866,0.83226531178236,0.16773468821763998,0.16048942375482506,0.8395105762451749,0.39682941986679776,0.6031705801332021
785,5501,False,0.0032893269439643906,70,62,0.06655851543481535,0.4457133994922288,0.4124436841145469,0.07528440095840885,0.3791548840574135,0.3978006696156375,0.04285714285714286,0.4714285714285714,0.44285714285714284,0.04285714285714286,0.6112403084166584,0.3887596915833415,0.8328645399863813,0.16713546001361868,0.16028824595176347,0.8397117540482366,0.39705965246088193,0.6029403475391181
786,5508,False,0.0038044754272569706,72,65,0.0728648690478818,0.39261988819176424,0.4685181871719599,0.06599705558839401,0.31975501914388244,0.4362084487756539,0.05555555555555555,0.4166666666666667,0.4722222222222222,0.05555555555555555,0.6110796118869196,0.38892038811308033,0.8322548235998909,0.1677451764001091,0.16069614496934984,0.8393038550306501,0.39716561329055317,0.6028343867094468
787,5515,False,0.001436235827163727,77,72,0.08467235923464775,0.3924044613354369,0.4296014897607564,0.09332168966915884,0.30773210210078916,0.4310513898242131,0.06493506493506493,0.4155844155844156,0.45454545454545453,0.06493506493506493,0.6111895006782541,0.388810499321746,0.8324883164533471,0.1675116835466529,0.16068294839895775,0.8393170516010423,0.396914326638961,0.603085673361039
788,5522,False,0.0024355583009449838,78,74,0.07999396939812985,0.46991294514264825,0.36991705389427737,0.08017603156494447,0.3899189757445184,0.43165537780697777,0.05128205128205128,0.5,0.38461538461538464,0.0641025641025641,0.6114784363766602,0.3885215636233398,0.8321484557628412,0.16785154423715876,0.16039868655028183,0.8396013134497181,0.39689558369805694,0.603104416301943
789,5529,False,0.0011549771042047275,61,52,0.04371654613334284,0.4316577229204851,0.4552669634759234,0.06935876747024872,0.38794117678714224,0.4025176077789099,0.01639344262295082,0.45901639344262296,0.47540983606557374,0.04918032786885246,0.6112332990497388,0.38876670095026117,0.8322288668979102,0.1677711331020898,0.16025356794624987,0.8397464320537502,0.39697494595597527,0.6030250540440247
790,5536,False,0.0017740468548821642,66,62,0.06075612784151355,0.4243993459737031,0.4134797276788076,0.10136479850597557,0.3636432181321895,0.46439428132860416,0.015151515151515152,0.45454545454545453,0.45454545454545453,0.07575757575757576,0.6110971387963053,0.3889028612036946,0.8323492423624739,0.1676507576375262,0.16003326631701165,0.8399667336829885,0.39659352273005627,0.6034064772699437
791,5543,False,0.0035179052340555215,68,62,0.09283528380544794,0.41344150771655885,0.36424104154883413,0.1294821669291586,0.32060622391111093,0.4592469333042459,0.058823529411764705,0.4411764705882353,0.39705882352941174,0.10294117647058823,0.6105978900702058,0.3894021099297942,0.8321741626086987,0.16782583739130133,0.16056686675522358,0.8394331332447765,0.39617549943269104,0.603824500567309
792,5550,False,0.002708711609022537,70,66,0.07223824525744592,0.42519925945733766,0.4347482932229702,0.06781420206224592,0.35296101419989173,0.4136327394431156,0.04285714285714286,0.44285714285714284,0.45714285714285713,0.05714285714285714,0.6108864586680849,0.38911354133191517,0.8317023612225011,0.16829763877749893,0.1604533344869972,0.8395466655130027,0.3959241469841302,0.6040758530158699
793,5557,False,0.0030274835249722493,57,55,0.09648761775282387,0.4533731230623495,0.3144864041120916,0.13565285507273472,0.3568855053095256,0.44066118375419666,0.07017543859649122,0.49122807017543857,0.2982456140350877,0.14035087719298245,0.611549055187467,0.388450944812533,0.8318024721012109,0.16819752789878906,0.16073896502851615,0.8392610349714839,0.3964879902451041,0.6035120097548959
794,5564,False,0.0021645728227765388,74,63,0.0895951741645714,0.4405695303714937,0.3813561261901544,0.08847916927378041,0.3509743562069223,0.42717441677895757,0.06756756756756757,0.47297297297297297,0.40540540540540543,0.05405405405405406,0.6113852485223842,0.38861475147761587,0.832011394136676,0.1679886058633239,0.16107728980911643,0.8389227101908835,0.39663631485196266,0.6033636851480373
795,5571,False,0.0026442071417719514,70,61,0.07990446121567446,0.3705470504184347,0.45659041485337476,0.0929580735125158,0.29064258920276026,0.4805802548185037,0.05714285714285714,0.4,0.4857142857142857,0.05714285714285714,0.6110859990137223,0.38891400098627765,0.8315324763357592,0.16846752366424075,0.16097253804626271,0.8390274619537372,0.39656769779933504,0.6034323022006649
