round,i,j,b_0,b_1
7,1,5,0.5,0.5
7,2,0,0.5,0.5
7,2,1,0.5,0.5
7,2,3,0.5,0.5
7,2,4,0.5,0.5
7,2,5,0.5,0.5
7,3,0,0.5,0.5
7,3,1,0.5,0.5
7,3,2,0.5,0.5
7,3,4,0.5,0.5
7,3,5,0.5,0.5
7,4,0,0.5,0.5
7,4,1,0.5,0.5
7,4,2,0.5,0.5
7,4,3,0.5,0.5
7,4,5,0.5,0.5
7,5,0,0.5,0.5
7,5,1,0.5,0.5
7,5,2,0.5,0.5
7,5,3,0.5,0.5
7,5,4,0.5,0.5
8,0,1,0.5,0.5
8,0,2,0.5,0.5
8,0,3,0.5,0.5
8,0,4,0.5,0.5
8,0,5,0.5,0.5
8,1,0,0.5,0.5
8,1,2,0.5,0.5
8,1,3,0.5,0.5
8,1,4,0.5,0.5
8,1,5,0.5,0.5
8,2,0,0.5,0.5
8,2,1,0.5,0.5
8,2,3,0.5,0.5
8,2,4,0.5,0.5
8,2,5,0.5,0.5
8,3,0,0.5,0.5
8,3,1,0.5,0.5
8,3,2,0.5,0.5
8,3,4,0.5,0.5
8,3,5,0.5,0.5
8,4,0,0.5,0.5
8,4,1,0.5,0.5
8,4,2,0.5,0.5
8,4,3,0.5,0.5
8,4,5,0.5,0.5
8,5,0,0.5,0.5
8,5,1,0.5,0.5
8,5,2,0.5,0.5
8,5,3,0.5,0.5
8,5,4,0.5,0.5
9,0,1,0.5,0.5
9,0,2,0.5,0.5
9,0,3,0.5,0.5
9,0,4,0.5,0.5
9,0,5,0.5,0.5
9,1,0,0.5,0.5
9,1,2,0.5,0.5
9,1,3,0.5,0.5
9,1,4,0.5,0.5
9,1,5,0.5,0.5
9,2,0,0.5,0.5
9,2,1,0.5,0.5
9,2,3,0.5,0.5
9,2,4,0.5,0.5
9,2,5,0.5,0.5
9,3,0,0.5,0.5
9,3,1,0.5,0.5
9,3,2,0.5,0.5
9,3,4,0.5,0.5
9,3,5,0.5,0.5
9,4,0,0.5,0.5
9,4,1,0.5,0.5
9,4,2,0.5,0.5
9,4,3,0.5,0.5
9,4,5,0.5,0.5
9,5,0,0.5,0.5
9,5,1,0.5,0.5
9,5,2,0.5,0.5
9,5,3,0.5,0.5
9,5,4,0.5,0.5
10,0,1,0.5,0.5
10,0,2,0.5,0.5
10,0,3,0.5,0.5
10,0,4,0.5,0.5
10,0,5,0.5,0.5
10,1,0,0.5,0.5
10,1,2,0.5,0.5
10,1,3,0.5,0.5
10,1,4,0.5,0.5
10,1,5,0.5,0.5
