belief_updates_enabled,belief_variant,experiment,final_mce,focal_mean_payoff_per_round,mean_payoff_per_agent_per_round,metrics_num_true_types,num_prototypes,observability,p_obs,payoff_game,run_dir,seed
True,,p_obs,0.029530832255825853,1.3365,1.9854368932038835,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_3,3
True,,p_obs,0.034406249418675275,1.2835,1.9662545940527898,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_4,4
True,,p_obs,0.02983608201916665,1.2905,1.9885723749585955,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_5,5
True,,p_obs,0.028566601958913515,1.2265,1.9601278600269179,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_6,6
True,,p_obs,0.031528420588161056,1.2795,1.9547138047138046,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_7,7
True,,p_obs,0.03399601609973693,1.224,1.9671557185728576,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_8,8
True,,p_obs,0.03171921307788936,1.204,1.964440734557596,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_1p0/seed_9,9
True,,p_obs,0.04981982211118812,1.325,1.98812351543943,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_0,0
True,,p_obs,0.041094875977679426,1.2645,1.9621440536013401,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_1,1
True,,p_obs,0.04016017577353786,1.313,1.9707154742096507,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_2,2
True,,p_obs,0.03977154996857959,1.211,1.9764135162261627,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_3,3
True,,p_obs,0.04249387919314217,1.2705,1.9871751603104961,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_4,4
True,,p_obs,0.04550166739761391,1.2915,1.9763245033112582,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_5,5
True,,p_obs,0.04943401261701355,1.2265,1.9764547595021864,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_6,6
True,,p_obs,0.050467729113623926,1.2615,1.9786950732356858,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_7,7
True,,p_obs,0.05921266970228327,1.283,1.984984984984985,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_8,8
True,,p_obs,0.05132672756737081,1.2665,1.9671447631754504,2,2,sparse,0.75,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p75/seed_9,9
True,,p_obs,0.0798834646834608,1.324,1.9865965388530709,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_0,0
True,,p_obs,0.08538520421778337,1.264,1.9592964824120602,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_1,1
True,,p_obs,0.10027894550641549,1.31,1.9687188019966722,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_2,2
True,,p_obs,0.08799121224968764,1.2065,1.9742388758782201,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_3,3
True,,p_obs,0.09000385383353755,1.2675,1.9851501856226796,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_4,4
True,,p_obs,0.09135886669375545,1.2865,1.9763245033112582,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_5,5
True,,p_obs,0.07422628527706165,1.226,1.9752774974772958,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_6,6
True,,p_obs,0.08792789491952206,1.263,1.975532623169108,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_7,7
True,,p_obs,0.11086522342699819,1.2835,1.9828161494828163,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_8,8
True,,p_obs,0.08963544106210716,1.266,1.9634756504336224,2,2,sparse,0.5,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p5/seed_9,9
True,,p_obs,0.4588511577430351,1.322,1.9801493043773328,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_0,0
True,,p_obs,0.49060806817843516,1.2555,1.9544388609715242,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_1,1
True,,p_obs,0.3361642919531513,1.3105,1.9640599001663894,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_2,2
True,,p_obs,0.24983202587794762,1.205,1.9715623954499832,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_3,3
True,,p_obs,0.30375696203779884,1.258,1.982956463044212,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_4,4
True,,p_obs,0.30542357803827574,1.275,1.9753311258278146,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_5,5
True,,p_obs,0.2585219897927884,1.2235,1.9693911873528422,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_6,6
True,,p_obs,0.2526965126331704,1.26,1.9735352862849533,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_7,7
True,,p_obs,0.36514673621826693,1.2805,1.97997997997998,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_8,8
True,,p_obs,0.30245875001310357,1.2695,1.9566377585056705,2,2,sparse,0.25,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp3_p_obs/p_obs_0p25/seed_9,9
True,bayes_on,belief_ablation,0.03139995174459945,1.247,1.9898299433144382,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_0,0
True,bayes_on,belief_ablation,0.02983589983006553,1.264,1.999003984063745,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_1,1
True,bayes_on,belief_ablation,0.032668629439696555,1.2365,1.944055944055944,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_2,2
True,bayes_on,belief_ablation,0.029530832255825853,1.3365,1.9854368932038835,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_3,3
True,bayes_on,belief_ablation,0.034406249418675275,1.2835,1.9662545940527898,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_4,4
True,bayes_on,belief_ablation,0.02983608201916665,1.2905,1.9885723749585955,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_5,5
True,bayes_on,belief_ablation,0.028566601958913515,1.2265,1.9601278600269179,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_6,6
