round,i,j,r_i,r_j
31,11,14,3.0,3.0
31,6,19,3.0,3.0
31,12,17,3.0,3.0
31,9,0,4.0,4.0
31,9,7,4.0,4.0
31,5,12,0.0,3.0
32,8,15,0.0,3.0
32,8,5,4.0,4.0
32,0,15,0.0,3.0
32,14,5,3.0,3.0
32,16,17,0.0,3.0
32,16,3,3.0,0.0
32,15,17,3.0,3.0
32,13,9,4.0,4.0
32,14,12,3.0,3.0
32,16,18,3.0,3.0
32,5,9,4.0,4.0
33,2,19,0.0,3.0
33,14,5,3.0,0.0
33,3,8,4.0,4.0
33,1,3,4.0,4.0
33,13,11,3.0,3.0
33,4,2,4.0,4.0
33,8,16,0.0,3.0
33,2,14,4.0,4.0
33,11,8,3.0,0.0
33,5,19,0.0,3.0
33,0,13,0.0,3.0
33,0,19,0.0,3.0
33,8,3,4.0,4.0
33,18,7,3.0,0.0
33,8,10,0.0,3.0
34,6,19,0.0,3.0
34,15,5,3.0,0.0
34,1,10,0.0,3.0
34,15,14,3.0,3.0
34,15,10,3.0,3.0
34,11,9,3.0,0.0
34,9,8,0.0,3.0
34,18,10,3.0,0.0
34,17,7,3.0,0.0
34,6,7,4.0,4.0
35,1,19,0.0,3.0
35,3,5,4.0,4.0
35,13,6,4.0,4.0
35,0,3,4.0,4.0
35,14,5,4.0,4.0
35,17,14,3.0,3.0
35,19,9,3.0,3.0
35,2,0,4.0,4.0
36,16,6,3.0,3.0
36,12,9,3.0,0.0
36,15,18,3.0,3.0
36,6,13,0.0,3.0
36,12,19,3.0,3.0
36,18,19,3.0,3.0
36,3,13,0.0,3.0
36,18,0,3.0,0.0
36,12,18,3.0,3.0
36,16,19,3.0,3.0
36,10,16,3.0,3.0
36,10,14,4.0,4.0
36,9,19,0.0,3.0
36,12,7,3.0,0.0
37,7,8,4.0,4.0
37,10,16,0.0,3.0
37,16,11,3.0,3.0
37,19,3,3.0,0.0
37,7,11,0.0,3.0
37,2,18,0.0,3.0
38,10,3,3.0,0.0
38,11,1,3.0,0.0
38,14,2,3.0,0.0
38,12,15,0.0,3.0
38,10,9,3.0,0.0
38,18,13,3.0,3.0
38,14,17,3.0,3.0
38,7,19,0.0,3.0
38,12,1,3.0,0.0
38,8,1,4.0,4.0
39,17,8,3.0,0.0
39,17,18,3.0,3.0
39,6,12,0.0,3.0
39,19,15,3.0,3.0
39,17,11,3.0,3.0
39,9,8,3.0,3.0
39,2,17,0.0,3.0
39,4,9,4.0,4.0
39,16,2,3.0,0.0
39,18,13,3.0,0.0
39,1,9,4.0,4.0
40,11,2,3.0,0.0
40,16,18,3.0,3.0
40,1,0,4.0,4.0
40,9,18,3.0,0.0
40,17,4,4.0,4.0
40,9,10,0.0,3.0
40,9,1,4.0,4.0
41,16,7,3.0,0.0
41,12,16,3.0,3.0
41,9,10,3.0,3.0
41,6,3,4.0,4.0
