run_id,preset,variant,seed,p_obs,prototype_lr_scale,init_noise,prototype_update_every_q,target_interaction_budget,num_interaction_events_executed,num_rounds_executed,final_matched_cross_entropy,final_mce,final_belief_entropy,final_belief_argmax_accuracy,final_prototype_gap,prototype_update_count
sparse/seed_3/p_obs_0p5/seed_3,sparse_pobs_sweep,p_obs_0p5,3,0.5,22.0,0.05,15,,49967,5000,0.08203049453956507,0.041015247269782534,0.0980391132797322,1.0,0.9196291279257908,3332
sparse/seed_3/p_obs_1p0/seed_3,sparse_pobs_sweep,p_obs_1p0,3,1.0,22.0,0.05,15,,50091,5000,0.04414324659235303,0.022071623296176516,0.0980391132797322,1.0,0.9563403806581298,3340
sparse/seed_4/p_obs_0p2/seed_4,sparse_pobs_sweep,p_obs_0p2,4,0.2,22.0,0.05,15,,50059,5000,0.36134931677107807,0.18067465838553903,0.0980391132797322,1.0,0.6694171099650268,3338
sparse/seed_4/p_obs_0p3/seed_4,sparse_pobs_sweep,p_obs_0p3,4,0.3,22.0,0.05,15,,50059,5000,0.15370812576311066,0.07685406288155533,0.0980391132797322,1.0,0.8520510401968103,3338
sparse/seed_4/p_obs_0p5/seed_4,sparse_pobs_sweep,p_obs_0p5,4,0.5,22.0,0.05,15,,50059,5000,0.075785542005156,0.037892771002578,0.0980391132797322,1.0,0.9256323565146292,3338
sparse/seed_4/p_obs_1p0/seed_4,sparse_pobs_sweep,p_obs_1p0,4,1.0,22.0,0.05,15,,50155,5000,0.04507450056076648,0.02253725028038324,0.0980391132797322,1.0,0.9554296846940039,3344
sparse/seed_5/p_obs_0p2/seed_5,sparse_pobs_sweep,p_obs_0p2,5,0.2,22.0,0.05,15,,49922,5000,0.5209125569842576,0.2604562784921288,0.10122090279089258,1.0,0.5414019023544017,3329
sparse/seed_5/p_obs_0p3/seed_5,sparse_pobs_sweep,p_obs_0p3,5,0.3,22.0,0.05,15,,49922,5000,0.2211550000995004,0.1105775000497502,0.0980391132797322,1.0,0.7906342325365289,3329
sparse/seed_5/p_obs_0p5/seed_5,sparse_pobs_sweep,p_obs_0p5,5,0.5,22.0,0.05,15,,49922,5000,0.08895079743178964,0.04447539871589482,0.0980391132797322,1.0,0.9129983764181248,3329
sparse/seed_5/p_obs_1p0/seed_5,sparse_pobs_sweep,p_obs_1p0,5,1.0,22.0,0.05,15,,49968,5000,0.04526327555790535,0.022631637778952676,0.0980391132797322,1.0,0.9552450821176365,3332
sparse/seed_6/p_obs_0p2/seed_6,sparse_pobs_sweep,p_obs_0p2,6,0.2,22.0,0.05,15,,50139,5000,0.5385538494789786,0.2692769247394893,0.10013724883641699,1.0,0.5278665765520466,3343
sparse/seed_6/p_obs_0p3/seed_6,sparse_pobs_sweep,p_obs_0p3,6,0.3,22.0,0.05,15,,50139,5000,0.21765549142242355,0.10882774571121177,0.0980391132797322,1.0,0.793770205894271,3343
sparse/seed_6/p_obs_0p5/seed_6,sparse_pobs_sweep,p_obs_0p5,6,0.5,22.0,0.05,15,,50139,5000,0.08378194930462779,0.041890974652313895,0.0980391132797322,1.0,0.9179487697951155,3343
sparse/seed_6/p_obs_1p0/seed_6,sparse_pobs_sweep,p_obs_1p0,6,1.0,22.0,0.05,15,,49901,5000,0.0468908935552663,0.02344544677763315,0.0980391132797322,1.0,0.9536546030008104,3327
sparse/seed_7/p_obs_0p2/seed_7,sparse_pobs_sweep,p_obs_0p2,7,0.2,22.0,0.05,15,,50043,5000,0.6013040539454027,0.3006520269727013,0.11152776100657134,1.0,0.4806862665079,3337
sparse/seed_7/p_obs_0p3/seed_7,sparse_pobs_sweep,p_obs_0p3,7,0.3,22.0,0.05,15,,50043,5000,0.2896154535429042,0.1448077267714521,0.0980391132797322,1.0,0.7303817629379248,3337
sparse/seed_7/p_obs_0p5/seed_7,sparse_pobs_sweep,p_obs_0p5,7,0.5,22.0,0.05,15,,50043,5000,0.07678247366848151,0.038391236834240755,0.0980391132797322,1.0,0.9246727715789587,3337
sparse/seed_7/p_obs_1p0/seed_7,sparse_pobs_sweep,p_obs_1p0,7,1.0,22.0,0.05,15,,49892,5000,0.04487569212975663,0.022437846064878315,0.0980391132797322,1.0,0.9556240346951598,3327
sparse/seed_8/p_obs_0p2/seed_8,sparse_pobs_sweep,p_obs_0p2,8,0.2,22.0,0.05,15,,49837,5000,0.6489229177997222,0.3244614588998611,0.12306529386114556,1.0,0.44583395579364443,3323
sparse/seed_8/p_obs_0p3/seed_8,sparse_pobs_sweep,p_obs_0p3,8,0.3,22.0,0.05,15,,49837,5000,0.26361135747569436,0.13180567873784718,0.0980391132797322,1.0,0.7530226099410814,3323
sparse/seed_8/p_obs_0p5/seed_8,sparse_pobs_sweep,p_obs_0p5,8,0.5,22.0,0.05,15,,49837,5000,0.07839630846438542,0.03919815423219271,0.0980391132797322,1.0,0.923120338717329,3323
sparse/seed_8/p_obs_1p0/seed_8,sparse_pobs_sweep,p_obs_1p0,8,1.0,22.0,0.05,15,,50084,5000,0.045344355824052426,0.022672177912026213,0.0980391132797322,1.0,0.9551658237290969,3339
sparse/seed_9/p_obs_0p2/seed_9,sparse_pobs_sweep,p_obs_0p2,9,0.2,22.0,0.05,15,,50039,5000,0.4809315540882906,0.2404657770441453,0.09852897315401543,1.0,0.5725318400803401,3336
sparse/seed_9/p_obs_0p3/seed_9,sparse_pobs_sweep,p_obs_0p3,9,0.3,22.0,0.05,15,,50039,5000,0.18409483780025693,0.09204741890012846,0.0980391132797322,1.0,0.8241241689580356,3336
sparse/seed_9/p_obs_0p5/seed_9,sparse_pobs_sweep,p_obs_0p5,9,0.5,22.0,0.05,15,,50039,5000,0.08128229275855173,0.040641146379275864,0.0980391132797322,1.0,0.9203472853749308,3336
sparse/seed_9/p_obs_1p0/seed_9,sparse_pobs_sweep,p_obs_1p0,9,1.0,22.0,0.05,15,,49559,5000,0.04435237975399302,0.02217618987699651,0.0980391132797322,1.0,0.9561357908891828,3304
